,configuration,release,recall,precision,fpr,fscore,gscore,balance,accuracy,error,error_type1,error_type2,mcc,consistency,auc,auc_alberg,auc_roi,necm10,necm25,cost,nofb20,nofc80,bias_train,bias_train_processed,bias_test,ratio_bias,ratio_bias_processed,prop1_defect,prop1_clean,num_train,num_train_processed,num_test,diff,potential
633,3_Peters15,nutch-0.9,0.7307692307692307,0.17757009345794392,0.2875816993464052,0.2857142857142857,0.7214770945828254,0.7214426083375655,0.713855421686747,0.286144578313253,3.3846153846153846,0.02287581699346405,0.2547720448577356,0.7078934137757668,0.8254147812971342,0.018461642094372874,0.6239422697847694,0.4759036144578313,0.7921686746987951,22456.0,14.0,116.0,0.0877742946708464,0.09060402684563758,0.0783132530120482,0.892211703958692,0.8643462739848283,25.115384615384617,7.166666666666667,319,298,332,317.27272727272725,medium
634,3_Peters15,nutch-1.0,0.6944444444444444,0.22727272727272727,0.2639751552795031,0.3424657534246575,0.7146303220359426,0.7144767258736147,0.7318435754189944,0.2681564245810056,2.361111111111111,0.034161490683229816,0.28060743658229736,0.6602829537612146,0.7389579020013802,0.00781931692548253,0.536404267765835,0.5446927374301676,1.005586592178771,24456.0,10.0,187.0,0.0783132530120482,0.09293680297397769,0.1005586592178771,1.2840567253975075,1.0820111731843576,21.916666666666668,6.916149068322981,332,269,358,279.7532467532468,medium
635,3_Peters15,nutch-1.10,0.5714285714285714,0.08602150537634409,0.31365313653136534,0.14953271028037382,0.6236378876781223,0.6244658740915026,0.6807017543859649,0.3192982456140351,6.071428571428571,0.02214022140221402,0.11882234056927915,0.5492883500263575,0.6928044280442804,0.00010801263533015232,0.4238587789337847,0.5087719298245614,0.8245614035087719,22437.0,1.0,169.0,0.1005586592178771,0.11764705882352941,0.04912280701754386,0.4884990253411306,0.41754385964912283,90.42857142857143,7.132841328413284,358,204,285,-679.2249999999999,none
636,3_Peters15,nutch-1.11,0.46153846153846156,0.05504587155963303,0.27837837837837837,0.09836065573770492,0.5629942013705851,0.5713770013456216,0.7127937336814621,0.28720626631853785,7.923076923076923,0.01891891891891892,0.07350465437617722,0.4426195426195426,0.7730769230769231,0.0008780509499718167,0.5763477995886133,0.4516971279373368,0.7258485639686684,22909.0,5.0,148.0,0.04912280701754386,0.04460966542750929,0.033942558746736295,0.6909735173442746,0.7608790252393387,31.846153846153847,7.145945945945946,285,269,383,-1213.9642857142858,none
637,3_Peters15,nutch-1.12,0.7407407407407407,0.16666666666666666,0.2695417789757412,0.272108843537415,0.7355635475334192,0.7355494997877039,0.7311557788944724,0.26884422110552764,3.7037037037037037,0.018867924528301886,0.25820232035234625,0.7218728162124388,0.8277428371767994,0.015215660737167007,0.6513643351268263,0.4271356783919598,0.6909547738693468,23865.0,13.0,150.0,0.033942558746736295,0.03314917127071823,0.0678391959798995,1.9986470815616544,2.0464824120603016,27.037037037037038,6.040431266846361,383,362,398,1564.65,large
638,3_Peters15,nutch-1.13,0.8,0.16129032258064516,0.2736842105263158,0.2684563758389262,0.7613793103448275,0.7603095255424064,0.7308641975308642,0.2691358024691358,4.16,0.013157894736842105,0.2748173826902774,0.7868421052631579,0.8495789473684211,0.00869772740034815,0.6078271936647109,0.3802469135802469,0.5654320987654321,28489.0,6.0,121.0,0.0678391959798995,0.06753246753246753,0.06172839506172839,0.9099222679469592,0.9140550807217475,30.32,5.9526315789473685,398,385,405,-60.90000000000009,none
639,3_Peters15,nutch-1.14,0.5714285714285714,0.032520325203252036,0.29238329238329236,0.06153846153846155,0.6322722283205269,0.6331475371129089,0.7053140096618358,0.2946859903381642,17.0,0.007371007371007371,0.07872666490401865,0.564057564057564,0.7816777816777817,0.0,0.5790807667066487,0.35990338164251207,0.46859903381642515,29374.0,3.0,208.0,0.06172839506172839,0.061855670103092786,0.016908212560386472,0.27391304347826084,0.27334943639291465,64.85714285714286,8.896805896805898,405,388,414,-4853.000000000001,none
640,3_Peters15,nutch-1.1,0.0,0.0,0.015015015015015015,0.0,0.0,0.2928135144546734,0.9010989010989011,0.0989010989010989,0.16129032258064516,0.09309309309309309,-0.036007793394494086,-0.09309309309309309,0.5142884820304175,0.0002565873932410621,0.4745913222824842,0.8653846153846154,2.142857142857143,367.0,6.0,348.0,0.016908212560386472,0.008695652173913044,0.08516483516483517,5.036891679748823,9.793956043956044,29.032258064516128,6.687687687687688,414,230,364,-inf,none
641,3_Peters15,nutch-1.2,0.7916666666666666,0.16964285714285715,0.2680115273775216,0.27941176470588236,0.7606588383639373,0.7599656726788752,0.7358490566037735,0.2641509433962264,3.875,0.01440922190201729,0.2805800802149039,0.7772574447646494,0.8278097982708934,0.0054876980888085,0.5877134698032125,0.38544474393531,0.5876010781671159,26889.0,6.0,105.0,0.08516483516483517,0.08683473389355742,0.0646900269541779,0.7595861229458308,0.7449786975045649,37.666666666666664,6.455331412103747,364,357,371,1029.625,large
642,3_Peters15,nutch-1.3,0.8,0.2898550724637681,0.22272727272727272,0.4255319148936171,0.7884726224783862,0.7883311099659083,0.7795918367346939,0.22040816326530613,1.96,0.022727272727272728,0.3884914861442444,0.7772727272727272,0.8694545454545455,0.025576540077997808,0.6014971998805461,0.40408163265306124,0.710204081632653,17382.0,6.0,72.0,0.0646900269541779,0.10300429184549356,0.10204081632653061,1.5773809523809523,0.9906462585034014,36.16,6.0,371,233,245,559.5714285714286,medium
